feature,n,mae,rmse,max_abs
LUMO+2s-LUMO+6i,52,0.07693767307692309,0.11769789639638686,0.393161
LUMO+2s-LUMO+5i,52,0.0731315576923077,0.1173854239522195,0.38434100000000004
LUMO+3s-LUMO+6i,52,0.07305346153846158,0.11493138966022631,0.387888
LUMO+3s-LUMO+5i,52,0.06924734615384617,0.11469607110650842,0.379068
LUMO+10s-LUMO+6i,52,0.07219736538461538,0.114407898978325,0.38943500000000014
LUMO+10s-LUMO+5i,52,0.06839124999999999,0.11418106732838855,0.380615
LUMO+4s-LUMO+6i,52,0.07104784615384617,0.11369468117997161,0.389802
LUMO+8s-LUMO+6i,52,0.07087605769230765,0.11361115721254261,0.390209
LUMO+4s-LUMO+5i,52,0.06724173076923076,0.11348822931391472,0.38098200000000004
LUMO+6s-LUMO+6i,52,0.07073171153846151,0.11341650142361594,0.388143
LUMO+8s-LUMO+5i,52,0.06706994230769227,0.11340598402073646,0.381389
LUMO+6s-LUMO+5i,52,0.06692559615384612,0.11322471397156322,0.379323
LUMO+5s-LUMO+6i,52,0.06889273076923079,0.11225773708370328,0.387622
LUMO+7s-LUMO+6i,52,0.06891688461538464,0.11222894662971489,0.3868100000000001
LUMO+5s-LUMO+5i,52,0.06508661538461537,0.11210511063575042,0.37880199999999997
LUMO+7s-LUMO+5i,52,0.06511076923076925,0.11208004623156273,0.3779900000000001
LUMO+9s-LUMO+6i,52,0.06793632692307693,0.11160045743711393,0.386073
LUMO+9s-LUMO+5i,52,0.06413021153846153,0.11147520595535343,0.3772529999999999
HOMOs-LUMO+6i,52,0.0668521730769231,0.11077524883771506,0.38363100000000006
HOMOs-LUMO+5i,52,0.0630460576923077,0.11073412718786242,0.374811
HOMO-10s-LUMO+6i,52,0.06603713461538462,0.11025913370738882,0.381448
HOMO-10s-LUMO+5i,52,0.06223101923076923,0.1101974518540906,0.37262800000000007
HOMO-9s-LUMO+6i,52,0.06554251923076923,0.10987574533631861,0.37958899999999995
HOMO-9s-LUMO+5i,52,0.06173640384615385,0.10985584258603848,0.370769
HOMO-6s-LUMO+6i,52,0.0654818653846154,0.10983711121588187,0.37952400000000003
HOMO-6s-LUMO+5i,52,0.06167574999999999,0.10981891823404633,0.370704
HOMO-1s-LUMO+5i,52,0.06017017307692307,0.10890451124803362,0.370198
